,wyId,FKGoalsOverExpected,count,TotalFKGoalsOverExpected,Full Name,shortName
284,280383,0.09468189647666664,32,3.0298206872533324,Enis Bardhi,E. Bardhi
702,3359,0.02163418664920371,116,2.5095656513076303,Lionel Andr\u00e9s Messi Cuccittini,L. Messi
574,89186,0.04169090406753828,41,1.7093270667690694,Paulo Bruno Exequiel Dybala,P. Dybala
240,8032,0.1358238008586386,12,1.6298856103036632,Marcos  Alonso Mendoza,Marcos Alonso
261,8278,0.11583066875345653,14,1.6216293625483915,Gareth Frank Bale,G. Bale
634,28115,0.022699191356636388,54,1.225756333258365,Nabil Fekir,N. Fekir
328,4805,0.09123366326457637,13,1.1860376224394928,Anaitz Arbilla Zabala,Arbilla
0,25604,0.9363223914120444,1,0.9363223914120444,Henri Saivet,H. Saivet
5,3510,0.30286593107348947,3,0.9085977932204684,David Timor Copov\u00ed,Timor
1,302798,0.453872553495437,2,0.907745106990874,Francesco Cassata,F. Cassata
16,246061,0.2998722438947308,3,0.8996167316841925,Federico Bernardeschi,F. Bernardeschi
3,24269,0.4286673235417302,2,0.8573346470834604,Massimo Coda,M. Coda
20,14838,0.284921250179244,3,0.8547637505377321,Christoph Kramer,C. Kramer
84,134387,0.27926281756326254,3,0.8377884526897876,Leon  Goretzka,L. Goretzka
137,22107,0.16719184241604162,5,0.8359592120802082,M\u00e1rio Rui Silva Duarte,M\u00e1rio Rui
104,257800,0.27106096787235284,3,0.8131829036170586,Aleksandr Golovin,A. Golovin
276,127796,0.09936636290083203,8,0.7949309032066563,Filip Kosti\u0107,F. Kosti\u0107
396,91019,0.08539976377289585,9,0.7685978739560626,Juan Fernando Quintero Paniagua,J. Quintero
107,289711,0.19169996994717192,4,0.7667998797886877,Naby Deco Ke\u00efta,N. Ke\u00efta
156,261,0.14903235926352165,5,0.7451617963176083,Nacer Chadli,N. Chadli
161,210044,0.14761076388723554,5,0.7380538194361776,Eric  Dier,E. Dier
206,413582,0.14446915777559816,5,0.7223457888779907,Yves Bissouma,Y. Bissouma
223,217031,0.14061349300936724,5,0.7030674650468361,Thomas Teye Partey,Thomas
494,142755,0.07263458939640802,9,0.6537113045676721,Bertrand Isidore Traor\u00e9,B. Traor\u00e9
543,101690,0.05791156516739373,11,0.637027216841331,Bal\u00e1zs Dzsudzs\u00e1k,B. Dzsudzs\u00e1k
385,228983,0.08995409787054173,7,0.6296786850937921,Wylan Cyprien,W. Cyprien
431,14689,0.0734371340245532,8,0.5874970721964256,Ronaldo  Aparecido Rodrigues,Naldo
409,21174,0.07967054609450885,7,0.557693822661562,Edinson Roberto Cavani G\u00f3mez,E. Cavani
416,70092,0.07860633609571306,7,0.5502443526699914,Steven Defour,S. Defour
554,288091,0.0420497772354249,13,0.5466471040605236,Marco Asensio Willemsen,Marco Asensio
506,270866,0.06674519979048496,8,0.5339615983238797,Diego Carlos Santos Silva,Diego Carlos
620,134484,0.03749129933005,14,0.5248781906207,Amato Ciciretti,A. Ciciretti
847,69411,0.015271257862768367,28,0.4275952201575143,Andrej Kramari\u0107,A. Kramari\u0107
881,3840,0.014149525281765309,19,0.26884098035354087,Iago Aspas Juncal,Iago Aspas
1083,14938,0.004751945337123689,55,0.26135699354180286,Maximilian Arnold,M. Arnold
952,3384,0.008666577553076028,29,0.2513307490392048,Jos\u00e9 Andr\u00e9s Guardado Hern\u00e1ndez,A. Guardado
906,282448,0.013258912678597681,14,0.18562477750036754,Aleix Garc\u00eda Serrano,Aleix Garc\u00eda
935,284469,0.012368157265912085,15,0.18552235898868127,Josip Brekalo,J. Brekalo
1235,8306,0.0024893521663035905,74,0.1842120603064657,Aleksandar Kolarov,A. Kolarov
1044,3802,0.005454695264375837,31,0.16909555319565095,Philippe Coutinho Correia,Philippe Coutinho
1196,278278,0.004210292944542072,28,0.11788820244717801,Munir El Haddadi Mohamed,Munir
1017,15194,0.005547789282946563,19,0.10540799637598469,Marcel Risse,M. Risse
1377,11063,0.0015268045001686592,33,0.05038454850556575,Jes\u00fas Joaqu\u00edn Fern\u00e1ndez S\u00e1ez de la Torre,Suso
1441,25541,0.0012583550931194272,35,0.04404242825917995,Jordan Veretout,J. Veretout
1412,208696,0.0013904780840646991,27,0.03754290826974688,Matteo Politano,M. Politano
1348,3563,0.0016345684332282747,15,0.02451852649842412,Francisco Rom\u00e1n Alarc\u00f3n Su\u00e1rez,Isco
1493,20468,0.0010755254427708282,17,0.01828393252710408,Emanuele Giaccherini,E. Giaccherini
1511,241945,0.0007469614540236409,18,0.013445306172425536,Pione Sisto Ifolo Emirmija,P. Sisto
